ABEL, Time, Target, Left Encoder Counts, Right Encoder Counts, Proportional Left, Differential Left, Proportional Right, Differential Right,
DATA, TIME, 0.08, 0, 0, 0.45, 22.50, 0.45, 22.50, 
DATA, TIME, 0.22, 0, 0, 1.35, 22.50, 1.35, 22.50, 
DATA, TIME, 3.08, 1, 0, 12.45, 7.50, 18.45, 7.50, 
DATA, TIME, 7.13, 3, 3, 24.75, -7.50, 24.75, -7.50, 
DATA, TIME, 11.32, 7, 7, 25.95, -37.50, 25.95, -37.50, 
DATA, TIME, 15.82, 11, 12, 28.95, -37.50, 22.95, -37.50, 
DATA, TIME, 20.40, 16, 16, 26.40, -52.50, 26.40, -52.50, 
DATA, TIME, 24.97, 20, 21, 29.85, -37.50, 23.85, -37.50, 
DATA, TIME, 29.62, 25, 26, 27.75, -52.50, 21.75, -52.50, 
DATA, TIME, 34.20, 29, 30, 31.20, -37.50, 25.20, -37.50, 
DATA, TIME, 38.85, 33, 35, 35.10, -37.50, 23.10, -37.50, 
DATA, TIME, 43.35, 37, 39, 38.10, -37.50, 26.10, -37.50, 
DATA, TIME, 48.00, 41, 44, 42.00, -37.50, 24.00, -37.50, 
DATA, TIME, 52.57, 45, 48, 45.45, -37.50, 27.45, -37.50, 
DATA, TIME, 57.23, 50, 52, 43.35, -52.50, 31.35, -52.50, 
DATA, TIME, 61.80, 55, 57, 40.80, -52.50, 28.80, -52.50, 
DATA, TIME, 66.37, 59, 62, 44.25, -37.50, 26.25, -37.50, 
DATA, TIME, 71.02, 63, 66, 48.15, -37.50, 30.15, -37.50, 
DATA, TIME, 75.60, 68, 70, 45.60, -52.50, 33.60, -52.50, 
DATA, TIME, 80.25, 72, 75, 49.50, -37.50, 31.50, -37.50, 
DATA, TIME, 84.83, 77, 80, 46.95, -52.50, 28.95, -52.50, 
DATA, TIME, 89.47, 81, 84, 50.85, -37.50, 32.85, -37.50, 
DATA, TIME, 94.05, 86, 89, 48.30, -52.50, 30.30, -52.50, 
DATA, TIME, 98.55, 91, 94, 45.30, -52.50, 27.30, -52.50, 
DATA, TIME, 103.20, 95, 98, 49.20, -37.50, 31.20, -37.50, 
DATA, TIME, 107.85, 99, 102, 53.10, -37.50, 35.10, -37.50, 
DATA, TIME, 112.65, 104, 107, 51.90, -52.50, 33.90, -52.50, 
DATA, TIME, 117.45, 109, 112, 50.70, -52.50, 32.70, -52.50, 
DATA, TIME, 122.33, 114, 117, 49.95, -52.50, 31.95, -52.50, 
DATA, TIME, 127.13, 119, 122, 48.75, -52.50, 30.75, -52.50, 
DATA, TIME, 132.00, 123, 126, 54.00, -37.50, 36.00, -37.50, 
DATA, TIME, 136.80, 128, 131, 52.80, -52.50, 34.80, -52.50, 
DATA, TIME, 141.68, 133, 136, 52.05, -52.50, 34.05, -52.50, 
DATA, TIME, 146.47, 137, 141, 56.85, -37.50, 32.85, -37.50, 
DATA, TIME, 151.35, 142, 146, 56.10, -52.50, 32.10, -52.50, 
DATA, TIME, 156.15, 147, 150, 54.90, -52.50, 36.90, -52.50, 
DATA, TIME, 161.03, 152, 155, 54.15, -52.50, 36.15, -52.50, 
DATA, TIME, 165.83, 157, 160, 52.95, -52.50, 34.95, -52.50, 
DATA, TIME, 170.70, 161, 165, 58.20, -37.50, 34.20, -37.50, 
DATA, TIME, 175.58, 167, 170, 51.45, -67.50, 33.45, -67.50, 
DATA, TIME, 180.38, 171, 174, 56.25, -37.50, 38.25, -37.50, 
DATA, TIME, 185.25, 176, 180, 55.50, -52.50, 31.50, -52.50, 
DATA, TIME, 190.05, 181, 184, 54.30, -52.50, 36.30, -52.50, 
DATA, TIME, 194.93, 186, 189, 53.55, -52.50, 35.55, -52.50, 
DATA, TIME, 199.73, 191, 194, 52.35, -52.50, 34.35, -52.50, 
DATA, TIME, 204.60, 195, 198, 57.60, -37.50, 39.60, -37.50, 
DATA, TIME, 209.40, 200, 204, 56.40, -52.50, 32.40, -52.50, 
DATA, TIME, 214.28, 205, 208, 55.65, -52.50, 37.65, -52.50, 
DATA, TIME, 219.08, 210, 213, 54.45, -52.50, 36.45, -52.50, 
DATA, TIME, 223.95, 215, 218, 53.70, -52.50, 35.70, -52.50, 
