LABEL, Time, Target, Left Encoder Counts, Right Encoder Counts, Proportional Left, Differential Left, Proportional Right, Differential Right,
DATA, TIME, 0.08, 0, 0, 0.45, 22.50, 0.45, 22.50, 
DATA, TIME, 0.22, 0, 0, 1.35, 22.50, 1.35, 22.50, 
DATA, TIME, 3.08, 0, 0, 18.45, 22.50, 18.45, 22.50, 
DATA, TIME, 7.28, 3, 3, 25.65, -22.50, 25.65, -22.50, 
DATA, TIME, 11.70, 7, 7, 28.20, -37.50, 28.20, -37.50, 
DATA, TIME, 16.12, 12, 12, 24.75, -52.50, 24.75, -52.50, 
DATA, TIME, 20.70, 16, 16, 28.20, -37.50, 28.20, -37.50, 
DATA, TIME, 25.35, 20, 21, 32.10, -37.50, 26.10, -37.50, 
DATA, TIME, 29.92, 24, 26, 35.55, -37.50, 23.55, -37.50, 
DATA, TIME, 34.58, 29, 30, 33.45, -52.50, 27.45, -52.50, 
DATA, TIME, 39.15, 33, 35, 36.90, -37.50, 24.90, -37.50, 
DATA, TIME, 43.80, 37, 39, 40.80, -37.50, 28.80, -37.50, 
DATA, TIME, 48.30, 42, 44, 37.80, -52.50, 25.80, -52.50, 
DATA, TIME, 52.95, 46, 48, 41.70, -37.50, 29.70, -37.50, 
DATA, TIME, 57.53, 50, 52, 45.15, -37.50, 33.15, -37.50, 
DATA, TIME, 62.10, 54, 57, 48.60, -37.50, 30.60, -37.50, 
DATA, TIME, 66.75, 59, 62, 46.50, -52.50, 28.50, -52.50, 
DATA, TIME, 71.32, 64, 66, 43.95, -52.50, 31.95, -52.50, 
DATA, TIME, 75.97, 68, 70, 47.85, -37.50, 35.85, -37.50, 
DATA, TIME, 80.55, 72, 75, 51.30, -37.50, 33.30, -37.50, 
DATA, TIME, 85.20, 77, 80, 49.20, -52.50, 31.20, -52.50, 
DATA, TIME, 89.77, 81, 84, 52.65, -37.50, 34.65, -37.50, 
DATA, TIME, 94.35, 86, 89, 50.10, -52.50, 32.10, -52.50, 
DATA, TIME, 99.00, 90, 94, 54.00, -37.50, 30.00, -37.50, 
DATA, TIME, 103.50, 95, 98, 51.00, -52.50, 33.00, -52.50, 
DATA, TIME, 108.22, 100, 103, 49.35, -52.50, 31.35, -52.50, 
DATA, TIME, 113.02, 104, 108, 54.15, -37.50, 30.15, -37.50, 
DATA, TIME, 117.90, 109, 112, 53.40, -52.50, 35.40, -52.50, 
DATA, TIME, 122.70, 114, 117, 52.20, -52.50, 34.20, -52.50, 
DATA, TIME, 127.57, 118, 122, 57.45, -37.50, 33.45, -37.50, 
DATA, TIME, 132.38, 123, 126, 56.25, -52.50, 38.25, -52.50, 
DATA, TIME, 137.25, 128, 131, 55.50, -52.50, 37.50, -52.50, 
DATA, TIME, 142.05, 133, 136, 54.30, -52.50, 36.30, -52.50, 
DATA, TIME, 146.93, 138, 141, 53.55, -52.50, 35.55, -52.50, 
DATA, TIME, 151.73, 142, 146, 58.35, -37.50, 34.35, -37.50, 
DATA, TIME, 156.60, 147, 150, 57.60, -52.50, 39.60, -52.50, 
DATA, TIME, 161.40, 152, 155, 56.40, -52.50, 38.40, -52.50, 
DATA, TIME, 166.27, 157, 160, 55.65, -52.50, 37.65, -52.50, 
DATA, TIME, 171.08, 162, 165, 54.45, -52.50, 36.45, -52.50, 
DATA, TIME, 175.95, 166, 170, 59.70, -37.50, 35.70, -37.50, 
DATA, TIME, 180.75, 171, 174, 58.50, -52.50, 40.50, -52.50, 
DATA, TIME, 185.63, 176, 180, 57.75, -52.50, 33.75, -52.50, 
DATA, TIME, 190.43, 181, 184, 56.55, -52.50, 38.55, -52.50, 
DATA, TIME, 195.30, 186, 189, 55.80, -52.50, 37.80, -52.50, 
DATA, TIME, 200.17, 190, 194, 61.05, -37.50, 37.05, -37.50, 
DATA, TIME, 204.98, 195, 199, 59.85, -52.50, 35.85, -52.50, 
DATA, TIME, 209.85, 200, 204, 59.10, -52.50, 35.10, -52.50, 
DATA, TIME, 214.65, 205, 208, 57.90, -52.50, 39.90, -52.50, 
DATA, TIME, 219.53, 210, 213, 57.15, -52.50, 39.15, -52.50, 
DATA, TIME, 224.33, 215, 218, 55.95, -52.50, 37.95, -52.50, 
